cod,nombarrio,km_2,Longitud,Latitud,zona,gym,sitios deportivos,metro,park,mall,theater,id ciudad
39,BOSQUES DE ZUÑIGA,0.166176212131,-75.5823469401,6.182727179,02,0,0,0,0,0,0,266
38,VILLAGRANDE,0.226551997115,-75.583782623,6.1793727717,02,0,0,0,0,0,0,266
36,PONTEVEDRA,0.18377276184,-75.5812740936,6.1776999832,02,0,0,0,0,0,0,266
37,JARDINES,0.131630092072,-75.585696759,6.1796516577,02,0,0,0,0,0,0,266
9,LAS VEGAS,1.3395603049,-75.5845830764,6.1839415137,01,0,0,0,0,0,0,266
8,LAS CASITAS,0.0670929684795,-75.6027169917,6.1613478174,08,0,0,0,0,0,0,266
10,LA PRIMAVERA,0.230528305097,-75.6002739102,6.1623442047,08,0,0,0,0,0,0,266
11,LA PAZ,0.343527826756,-75.5922340559,6.1638425865,07,0,0,0,0,0,0,266
12,MILAN VALLEJUELOS,0.306324763952,-75.5932726562,6.1661181888,08,0,0,0,0,0,0,266
13,EL DORADO,0.498940147063,-75.5882035889,6.166640587,07,0,0,0,0,0,0,266
14,SAN JOSE,0.368976797184,-75.5816971011,6.1636216966,06,0,0,0,0,0,0,266
18,LA INMACULADA,0.48826317748,-75.5689185706,6.1633005323,05,0,0,0,0,0,0,266
19,LA SEBASTIANA,0.13678223833,-75.5767293893,6.1699322491,03,0,0,0,0,0,0,266
23,ALCALA,0.283857496986,-75.5922606321,6.1698466768,08,0,0,0,0,0,0,266
20,LOS NARANJOS,0.157547367452,-75.5827772107,6.1685541715,09,0,0,0,0,0,0,266
21,MESA,0.25544293378,-75.5805918703,6.1651307794,09,0,0,0,0,0,0,266
22,CENTRO,0.333675828604,-75.5854312469,6.173876391,09,0,0,0,0,0,0,266
26,OBRERO,0.109515202391,-75.5806936968,6.172993342,09,0,0,0,0,0,0,266
27,BUCAREST,0.0479241218035,-75.5846668527,6.1731244564,09,0,0,0,0,0,0,266
25,SAN MARCOS,0.158432731328,-75.5883256905,6.17340901,02,0,0,0,0,0,0,266
24,EL PORTAL,0.173586471118,-75.5884283918,6.1752430519,02,0,0,0,0,0,0,266
29,LAS FLORES,0.0852924500957,-75.5792747405,6.1756512306,03,0,0,0,0,0,0,266
31,EL ESMERALDAL,0.421378514515,-75.574039859,6.1761887103,04,0,0,0,0,0,0,266
28,LA MAGNOLIA,0.148635584506,-75.5806569859,6.1752936105,09,0,0,0,0,0,0,266
33,ZUÑIGA,0.766260217916,-75.5763195036,6.1820147046,04,0,0,0,0,0,0,266
34,ALTO DE MISAEL,0.139684148985,-75.5779156306,6.1793457434,03,0,0,0,0,0,0,266
35,LAS ORQUIDEAS,0.193289016993,-75.5787826277,6.1793704524,03,0,0,0,0,0,0,266
30,URIBE ANGEL,0.224528768499,-75.5796553078,6.1765548404,03,0,0,0,0,0,0,266
6,EL TRIANON,0.388362212507,-75.5897263194,6.1591066099,07,0,0,0,0,0,0,266
5,LAS ANTILLAS,0.243569421714,-75.5888654082,6.1608756817,07,0,0,0,0,0,0,266
1,EL CHINGUI,0.336415809651,-75.5777146632,6.1588027229,06,0,0,0,0,0,0,266
15,LOMA DE LAS BRUJAS,0.277063852327,-75.5746082449,6.1596942152,05,0,0,0,0,0,0,266
16,LA PRADERA,0.487617608062,-75.5745577812,6.1670288847,05,0,0,0,0,0,0,266
17,EL CHOCHO,0.322310896792,-75.5642354741,6.1672107533,05,0,0,0,0,0,0,266
32,LOMA DEL ATRAVESADO,0.524343960141,-75.5627349858,6.1742612473,04,0,0,0,0,0,0,266
7,LOMA DEL BARRO,0.704942474114,-75.5965326454,6.1600308052,07,0,0,0,0,0,0,266
2,EL SALADO,0.341767395888,-75.5793253174,6.1570103455,06,0,0,0,0,0,0,266
3,LA MINA,0.307280331642,-75.5807957909,6.1538469765,06,0,0,0,0,0,0,266
4,SAN RAFAEL,0.334825867434,-75.5826432848,6.1580430784,06,0,0,0,0,0,0,266
